Espèce,Ordre,Sous-ordre,Stridulation,Son,Fréquences dominantes (kHz),Ultrasons,Habitat,Zone,Début activité principale,Fin activité principale,Notes
Diestrammena asynamora,Orthoptera,Ensifera,Non,No,,,"Serres tropicales, métro parisien, milieux à forte hygrométrie et température",Centre France,Janvier,Décembre,Pic toute l'année
Dimissalna dimissa,Hemiptera,Cicadomorpha,Oui,Timbalization,16 - 22 ,,Strate arborée et arbustive,Gard,Juin,Août,
Dociostaurus brevicollis,Orthoptera,Caelifera,Oui,Stridulation,Audible,,,,,,
Dociostaurus genei genei,Orthoptera,Caelifera,Oui,Stridulation,Audible,,"Milieux arides, pelouses, guarrigues, friches et dunes",Méditerranée,Juin,Octobre,
Dociostaurus jagoi occidentalis,Orthoptera,Caelifera,Oui,Stridulation,Audible,,"Milieux arides, pelouses, guarrigues, friches et dunes",Méditerranée,Juin,Octobre,
Dociostaurus maroccanus,Orthoptera,Caelifera,Oui,Stridulation,Audible,,Milieux très arides,Méditerranée,Mai,Septembre,
Dolichopoda azami azami,Orthoptera,Ensifera,Non,No,,,"Grottes, cavités, murs, ponts et éboulis",Provence-Alpes-Côte-d'Azur,Juin,Novembre,
Dolichopoda azami ligustica,Orthoptera,Ensifera,Non,No,,,"Grottes, cavités, murs, ponts et éboulis",Alpes-Maritimes,Juin,Novembre,
Dolichopoda bormansi,Orthoptera,Ensifera,Non,No,,,"Grottes, cavités, murs, ponts et éboulis",Corse,Juin,Novembre,
Dolichopoda chopardi,Orthoptera,Ensifera,Non,No,,,"Grottes, cavités, murs, ponts et éboulis",Alpes-Maritimes,Juin,Novembre,
Dolichopoda cyrnensis,Orthoptera,Ensifera,Non,No,,,"Grottes, cavités, murs, ponts et éboulis",Corse,Juin,Novembre,
Dolichopoda geniculata geniculata,Orthoptera,Ensifera,Non,No,,,,,,,
Dolichopoda linderii,Orthoptera,Ensifera,Non,No,,,"Grottes, cavités, murs, ponts et éboulis",Occitanie,Juin,Novembre,
Epacromius tergestinus ponticus,Orthoptera,Caelifera,Inconnue,Unknown,,,"Zones alluviales des rivières alpines, dépôts limoneux et sables humides",Alpes,Juillet,Octobre,
Epacromius tergestinus tergestinus,Orthoptera,Caelifera,Inconnue,Unknown,,,Marais salants,Nouvelle-Aquitaine,Juillet,Octobre,Préférence côte Atlantique
Ephippiger diurnus cunii,Orthoptera,Ensifera,Oui,Stridulation,16-22,,"Pelouses et prairies sèches, buissons, friches",Méditerranée,Juillet,Novembre,
Ephippiger diurnus diurnus,Orthoptera,Ensifera,Oui,Stridulation,16-22,,"Pelouses et prairies sèches, buissons, friches",Occitanie,Juillet,Novembre,
Ephippiger ephippiger,Orthoptera,Ensifera,Oui,Stridulation,16-22,,,,,,
Ephippiger persicarius,Orthoptera,Ensifera,Oui,Stridulation,16-22,,,,,,
Ephippiger provincialis,Orthoptera,Ensifera,Oui,Stridulation,16-22,,"Pelouses sèches, friches, guarrigues",Provence-Alpes-Côte-d'Azur,Juin,Août,
Ephippiger terrestris bormansi,Orthoptera,Ensifera,Oui,Stridulation,16-22,,"Pelouses et prairies sèches, friches, lisières",Provence-Alpes-Côte-d'Azur,Juillet,Octobre,
Ephippiger terrestris caprai,Orthoptera,Ensifera,Oui,Stridulation,16-22,,,,,,
Ephippiger terrestris terrestris,Orthoptera,Ensifera,Oui,Stridulation,16-22,,"Pelouses et prairies sèches, friches, lisières",Provence-Alpes-Côte-d'Azur,Juin,Octobre,
Epipodisma pedemontana waltheri,Orthoptera,Caelifera,Non,No,,,Pelouses alpines rocailleuses et éboulis,Alpes,Juillet,Octobre,
Euchorthippus chopardi,Orthoptera,Caelifera,Oui,Stridulation,Audible,,"Pelouses rocailleuses, guarrigues, souvent avec Brachypode rameux",Méditerranée,Juin,Novembre,
Euchorthippus declivus,Orthoptera,Caelifera,Oui,Stridulation,Audible,,"Strate herbacée sèche au Nord, plus humides au Sud",Occitanie,Juin,Octobre,
Euchorthippus elegantulus,Orthoptera,Caelifera,Oui,Stridulation,Audible,,Milieux herbacés thermophiles,Occitanie,Mai,Novembre,
Euchorthippus pulvinatus,Orthoptera,Caelifera,Oui,Stridulation,Audible,,,,,,
Eugryllodes pipiens,Orthoptera,Ensifera,Oui,Stridulation,Audible,,Pelouses rocailleuses,Méditerranée,Juillet,Octobre,
Eumodicogryllus bordigalensis bordigalensis,Orthoptera,Ensifera,Oui,Stridulation,Audible,,"Lits de graviers, cultures, voies ferrées et autres milieux perturbés",Occitanie,Avril,Octobre,
Eupholidoptera chabrieri chabrieri,Orthoptera,Ensifera,Oui,Stridulation,15 - 40,Oui,"Fourrés, landes thermophiles, guarrigues, maquis",Gard,Juin,Novembre,
Eupholidoptera schmidti,Orthoptera,Ensifera,Oui,Stridulation,18 - 35,,,,,,
Eupholidoptera tyrrhenica,Orthoptera,Ensifera,Oui,Stridulation,18 - 35,Oui,"Fourrés, maquis, landes, friches",Corse,Juin,Novembre,
Euthystira brachyptera,Orthoptera,Caelifera,Oui,Stridulation,16-22,,"Strate herbacée dense, milieux secs à humides",Occitanie,Mai,Novembre,
Eyprepocnemis plorans plorans,Orthoptera,Caelifera,Inconnue,Unknown,,,"Zones humides du littoral, prairies sablonneuses, haies",Méditerranée,Juillet,Novembre,
